id_producto;valoracion_producto;estado_producto_servicio_id_producto;tienda_id_producto;titulo_lista_producto;nombre_producto;url_producto;img_producto;costo_producto;precio_producto;existenci_producto;oferta_producto;descripcion_producto;resumen_producto;detalles_producto;especificaciones_producto;galeria_producto;video_producto;top_banner_producto;default_banner_producto;horizontal_slider_producto;vertical_slider_producto;reviews_producto;tags_producto;codigo_producto;ventas_producto;vistas_producto;fecha_creacion_producto;fecha_modificacion_producto
0;;1;27;;OTRO;producto-0;producto-0.jpg;3000;;;;;;;;;;;;;;;;;;;;
1;;1;20;;Bobina de Encendido de 2 Pines TORCH BBN-027.;producto-1;https://m.autoplanet.cl/medias/sys_master/images/hf9/h87/8960694485022.jpg;13490;;;;;;;;;;;;;;;;;;;;
2;;1;24;;Bobina de Encendido de 4 Pines TORCH BBN-024.;producto-2;https://m.autoplanet.cl/medias/sys_master/images/h8f/h85/8960719716382.jpg;22490;;;;;;;;;;;;;;;;;;;;
3;;1;25;;Bobina de Encendido de 6 Pines ECHLIN 597084;producto-3;https://m.autoplanet.cl/medias/sys_master/images/h26/h29/8937044967454.jpg;23000;;;;;;;;;;;;;;;;;;;;
4;;1;25;;Bobina de Encendido de 4 Pines TORCH BBN-104;producto-4;https://m.autoplanet.cl/medias/sys_master/images/h7b/h77/8977359667230.jpg;43490;;;;;;;;;;;;;;;;;;;;
5;;1;25;;Bobina de Encendido de 3 Pines TORCH BBN-056.;producto-5;https://m.autoplanet.cl/medias/sys_master/images/hde/h1e/8938306699294.jpg;26990;;;;;;;;;;;;;;;;;;;;
6;;1;25;;Bobina de Encendido RENAULT Original 224333529R;producto-6;https://m.autoplanet.cl/medias/sys_master/images/h41/hd5/9001809281054.jpg;33490;;;;;;;;;;;;;;;;;;;;
7;;1;24;;Bobina de Encendido de 3 Pines 005918.;producto-7;https://m.autoplanet.cl/medias/sys_master/images/h03/h8e/8966780878878.jpg;170990;;;;;;;;;;;;;;;;;;;;
8;;1;29;;Bobina de Encendido de 4 Pines TORCH BBN-098.;producto-8;https://m.autoplanet.cl/medias/sys_master/images/h26/h0b/8943610593310.jpg;19490;;;;;;;;;;;;;;;;;;;;
9;;1;22;;Bobina CADIC 091120052;producto-9;https://m.autoplanet.cl/medias/sys_master/images/hca/hae/9060830150686.jpg;40490;;;;;;;;;;;;;;;;;;;;
10;;1;25;;Bobina de Encendido CADIC 27301-03110 91120150;producto-10;https://m.autoplanet.cl/medias/sys_master/images/hdd/h14/9030220709918.jpg;8000;;;;;;;;;;;;;;;;;;;;
11;;1;20;;Bobina de Encendido de 2 Pines TORCH BBN-043.;producto-11;https://m.autoplanet.cl/medias/sys_master/images/h51/h2c/8960689766430.jpg;10490;;;;;;;;;;;;;;;;;;;;
12;;1;23;;Bobina de Encendido ECHLIN 0024811;producto-12;https://m.autoplanet.cl/medias/sys_master/images/h9f/h4e/8985635913758.jpg;61990;;;;;;;;;;;;;;;;;;;;
13;;1;25;;Bobina de Encendido de 3 Pines TORCH BBN-015.;producto-13;https://m.autoplanet.cl/medias/sys_master/images/h06/h6a/8977356914718.jpg;8990;;;;;;;;;;;;;;;;;;;;
14;;1;27;;Bobina de Encendido de 2 Pines CADIC 91120115.;producto-14;https://m.autoplanet.cl/medias/sys_master/images/h7c/h9f/8967927463966.jpg;18990;;;;;;;;;;;;;;;;;;;;
15;;1;23;;Bobina de Encendido de 2 Pines CADIC 9112115.;producto-15;https://www.autoplanet.cl/images/products/sin_image250.png;11190;;;;;;;;;;;;;;;;;;;;
16;;1;22;;Bobina 3 Pines BBN-041;producto-16;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;18490;;;;;;;;;;;;;;;;;;;;
