id_subcategoria_producto;titulo_lista_subcategoria_producto;nombre_subcategoria_producto;url_subcategoria_producto;img_subcategoria_producto;vistas_subcategoria_producto;fecha_creacion_subcategoria_producto;fecha_modificacion_subcategoria_producto
0;;otros;otros;otros.jpg;;;
1;;Bobina;bobina;bobina.jpg;;;
2;;Bujías;bujias;bujias.jpg;;;
3;;Bujías incandescentes;bujias-incandescentes;bujias-incandescentes.jpg;;;
4;;Bujías de moto;bujias-de-moto;bujias-de-moto.jpg;;;
5;;Cables de bujías;cables-de-bujias;cables-de-bujias.jpg;;;
6;;Condensador;condensador;condensador.jpg;;;
7;;Decantadores;decantadores;decantadores.jpg;;;
8;;Filtro de aceite;filtro-de-aceite;filtro-de-aceite.jpg;;;
9;;Filtro de Aire;filtro-de-aire;filtro-de-aire.jpg;;;
10;;Filtro de combustible;filtro-de-combustible;filtro-de-combustible.jpg;;;
11;;Modulo de encendido;modulo-de-encendido;modulo-de-encendido.jpg;;;
12;;Platino;platino;platino.jpg;;;
13;;Rotor de distribuidor;rotor-de-distribuidor;rotor-de-distribuidor.jpg;;;
14;;Tapas de distribuidor;tapas-de-distribuidor;tapas-de-distribuidor.jpg;;;
15;;Válvula pcv;valvula-pcv;valvula-pcv.jpg;;;
17;;Varilla de aceite;varilla-de-aceite;varilla-de-aceite.jpg;;;
18;;Espejos;espejos;espejos.jpg;;;
19;;Farol;farol;farol.jpg;;;
20;;Faroles delanteros;faroles-delanteros;faroles-delanteros.jpg;;;
21;;Neblineros;neblineros;neblineros.jpg;;;
22;;Tapas de bencina;tapas-de-bencina;tapas-de-bencina.jpg;;;
23;;Óptico;optico;optico.jpg;;;
24;;Correa bomba de agua;correa-bomba-de-agua;correa-bomba-de-agua.jpg;;;
25;;Correa de ventilación;correa-de-ventilacion;correa-de-ventilacion.jpg;;;
26;;Cadena de distribución;cadena-de-distribucion;cadena-de-distribucion.jpg;;;
27;;Correa compensadora;correa-compensadora;correa-compensadora.jpg;;;
28;;Correa de distribución;correa-de-distribucion;correa-de-distribucion.jpg;;;
29;;Guia de cadena de distribución;guia-de-cadena-de-distribucion;guia-de-cadena-de-distribucion.jpg;;;
30;;Kits de correa de distribución;kits-de-correa-de-distribucion;kits-de-correa-de-distribucion.jpg;;;
31;;Rodamiento auxiliar correa distribución;rodamiento-auxiliar-correa-distribucion;rodamiento-auxiliar-correa-distribucion.jpg;;;
32;;Rodamiento tensor correa compensadora;rodamiento-tensor-correa-compensadora;rodamiento-tensor-correa-compensadora.jpg;;;
33;;Rodamiento tensor correa distribución;rodamiento-tensor-correa-distribucion;rodamiento-tensor-correa-distribucion.jpg;;;
34;;Tensor cadena de distribución;tensor-cadena-de-distribucion;tensor-cadena-de-distribucion.jpg;;;
35;;Bomba de Embrague;bomba-de-embrague;bomba-de-embrague.jpg;;;
36;;Cilindro de Embrague;cilindro-de-embrague;cilindro-de-embrague.jpg;;;
37;;Crucetas de Cardan;crucetas-de-cardan;crucetas-de-cardan.jpg;;;
38;;Disco de Embrague;disco-de-embrague;disco-de-embrague.jpg;;;
39;;Fuelles de Homocinética;fuelles-de-homocinetica;fuelles-de-homocinetica.jpg;;;
40;;Horquilla de Embrague;horquilla-de-embrague;horquilla-de-embrague.jpg;;;
41;;Kit de Embrague;kit-de-embrague;kit-de-embrague.jpg;;;
42;;Kit de Embrague y Despiece;kit-de-embrague-y-despiece;kit-de-embrague-y-despiece.jpg;;;
43;;Piola Selector de Cambios;piola-selector-de-cambios;piola-selector-de-cambios.jpg;;;
44;;Piola de Embrague;piola-de-embrague;piola-de-embrague.jpg;;;
45;;Piola de Velocímetro;piola-de-velocimetro;piola-de-velocimetro.jpg;;;
46;;Prensa de Embrague;prensa-de-embrague;prensa-de-embrague.jpg;;;
47;;Punta de Homocinética;punta-de-homocinetica;punta-de-homocinetica.jpg;;;
48;;Reparación Bomba de Embrague;reparacion-bomba-de-embrague;reparacion-bomba-de-embrague.jpg;;;
49;;Reparación Cilindro de Embrague;reparacion-cilindro-de-embrague;reparacion-cilindro-de-embrague.jpg;;;
50;;Reten de Caja de Cambio;reten-de-caja-de-cambio;reten-de-caja-de-cambio.jpg;;;
51;;Rodamiento de Empuje;rodamiento-de-empuje;rodamiento-de-empuje.jpg;;;
52;;Volante de Embrague;volante-de-embrague;volante-de-embrague.jpg;;;
55;;Filtro de Aire acondicionado;filtro-de-aire-acondicionado;filtro-de-aire-acondicionado.jpg;;;
57;;Balatas Traseras;balatas-traseras;balatas-traseras.jpg;;;
58;;Bomba de Freno;bomba-de-freno;bomba-de-freno.jpg;;;
59;;Cilindro de Frenos;cilindro-de-frenos;cilindro-de-frenos.jpg;;;
60;;Disco de Freno Delantero;disco-de-freno-delantero;disco-de-freno-delantero.jpg;;;
61;;Disco de Freno Trasero;disco-de-freno-trasero;disco-de-freno-trasero.jpg;;;
62;;Flexibles de Freno;flexibles-de-freno;flexibles-de-freno.jpg;;;
63;;Goma de Cilindro Tipo Aro;goma-de-cilindro-tipo-aro;goma-de-cilindro-tipo-aro.jpg;;;
64;;Goma de Cilindro Tipo Taza;goma-de-cilindro-tipo-taza;goma-de-cilindro-tipo-taza.jpg;;;
65;;Guardapolvos de Cilindro de Freno;guardapolvos-de-cilindro-de-freno;guardapolvos-de-cilindro-de-freno.jpg;;;
66;;Kit de Frenos Delantero;kit-de-frenos-delantero;kit-de-frenos-delantero.jpg;;;
67;;Kit de Latas para Pastillas;kit-de-latas-para-pastillas;kit-de-latas-para-pastillas.jpg;;;
68;;Kit de Reparación Bomba de Freno;kit-de-reparacion-bomba-de-freno;kit-de-reparacion-bomba-de-freno.jpg;;;
69;;Kit de Reparación para Caliper;kit-de-reparacion-para-caliper;kit-de-reparacion-para-caliper.jpg;;;
70;;Pastillas de Freno Delantero;pastillas-de-freno-delantero;pastillas-de-freno-delantero.jpg;;;
71;;Pastillas de Freno Trasero;pastillas-de-freno-trasero;pastillas-de-freno-trasero.jpg;;;
72;;Tambores de Freno Trasero;tambores-de-freno-trasero;tambores-de-freno-trasero.jpg;;;
73;;Anillos de Motor;anillos-de-motor;anillos-de-motor.jpg;;;
74;;Cigueñal;ciguenal;ciguenal.jpg;;;
75;;Culata;culata;culata.jpg;;;
76;;Eje de Levas;eje-de-levas;eje-de-levas.jpg;;;
77;;Empaquetadura Múltiple de Admisión;empaquetadura-multiple-de-admision;empaquetadura-multiple-de-admision.jpg;;;
78;;Empaquetadura Múltiple de Escape;empaquetadura-multiple-de-escape;empaquetadura-multiple-de-escape.jpg;;;
79;;Empaquetadura Salida Escape o Picaron;empaquetadura-salida-escape-o-picaron;empaquetadura-salida-escape-o-picaron.jpg;;;
