id_taller_mecanico;nombre_taller_mecanico;url_taller_mecanico;logo_taller_mecanico;cover_taller_mecanico;abstract_taller_mecanico;descripcion_taller_mecanico;email_taller_mecanico;telefono_taller_mecanico;social_taller_mecanico;usuario_id_taller_mecanico
30;taller-30;taller-30;;;;;taller30@yopmail.com;;;30
31;taller-31;taller-31;;;;;taller31@yopmail.com;;;31
32;taller-32;taller-32;;;;;taller32@yopmail.com;;;32
33;taller-33;taller-33;;;;;taller33@yopmail.com;;;33
34;taller-34;taller-34;;;;;taller34@yopmail.com;;;34
35;taller-35;taller-35;;;;;taller35@yopmail.com;;;35
36;taller-36;taller-36;;;;;taller36@yopmail.com;;;36
37;taller-37;taller-37;;;;;taller37@yopmail.com;;;37
38;taller-38;taller-38;;;;;taller38@yopmail.com;;;38
39;taller-39;taller-39;;;;;taller39@yopmail.com;;;39
