id_tienda;nombre_tienda;url_tienda;logo_tienda;cover_tienda;abstract_tienda;descripcion_tienda;email_tienda;telefono_tienda;cantidad_productos_tienda;social_tienda;fecha_creacion_tienda;fecha_modificacion_tienda;usuario_id_tienda
20;Tienda20;tienda-20;;;;;Tienda20@yopmail.com;;;;;;20
21;Tienda21;tienda-21;;;;;Tienda21@yopmail.com;;;;;;21
22;Tienda22;tienda-22;;;;;Tienda22@yopmail.com;;;;;;22
23;Tienda23;tienda-23;;;;;Tienda23@yopmail.com;;;;;;23
24;Tienda24;tienda-24;;;;;Tienda24@yopmail.com;;;;;;24
25;Tienda25;tienda-25;;;;;Tienda25@yopmail.com;;;;;;25
26;Tienda26;tienda-26;;;;;Tienda26@yopmail.com;;;;;;26
27;Tienda27;tienda-27;;;;;Tienda27@yopmail.com;;;;;;27
28;Tienda28;tienda-28;;;;;Tienda28@yopmail.com;;;;;;28
29;Tienda29;tienda-29;;;;;Tienda29@yopmail.com;;;;;;29
